entry_time,exit_time,action,entry_price,exit_price,pnl_points,pnl_rupees,capital,exit_reason
2025-09-01 11:05:00+05:30,2025-09-01 11:10:00+05:30,LONG,417.075,417.4,0.32499999999998863,-23.75000000000057,99976.25,End of Candle
2025-09-01 11:30:00+05:30,2025-09-01 11:35:00+05:30,LONG,418.325,413.85,-4.474999999999966,-263.7499999999983,99712.5,End of Candle
2025-09-01 11:50:00+05:30,2025-09-01 11:55:00+05:30,SHORT,407.675,409.4,-1.724999999999966,-126.2499999999983,99586.25,Target Gap Fill
2025-09-01 12:00:00+05:30,2025-09-01 12:05:00+05:30,SHORT,407.075,410.8,-3.7250000000000227,-226.25000000000114,99360.0,Target Gap Fill
2025-09-01 12:20:00+05:30,2025-09-01 12:25:00+05:30,LONG,418.625,428.125,9.5,435.0,99795.0,Target Hit
2025-09-01 12:25:00+05:30,2025-09-01 12:30:00+05:30,LONG,425.225,428.95,3.724999999999966,146.2499999999983,99941.25,End of Candle
2025-09-01 12:30:00+05:30,2025-09-01 12:35:00+05:30,LONG,433.425,427.925,-5.5,-315.0,99626.25,Stoploss Hit
2025-09-01 12:40:00+05:30,2025-09-01 12:45:00+05:30,LONG,435.325,427.85,-7.474999999999966,-413.7499999999983,99212.5,Stop Gap Fill
2025-09-01 13:05:00+05:30,2025-09-01 13:10:00+05:30,LONG,434.425,435.05,0.625,-8.75,99203.75,End of Candle
2025-09-01 13:10:00+05:30,2025-09-01 13:15:00+05:30,LONG,440.325,436.75,-3.5749999999999886,-218.74999999999943,98985.0,End of Candle
2025-09-01 13:20:00+05:30,2025-09-01 13:25:00+05:30,LONG,437.375,435.05,-2.3249999999999886,-156.24999999999943,98828.75,End of Candle
2025-09-01 13:35:00+05:30,2025-09-01 13:40:00+05:30,LONG,443.375,437.875,-5.5,-315.0,98513.75,Stoploss Hit
2025-09-01 13:55:00+05:30,2025-09-01 14:00:00+05:30,LONG,439.925,436.15,-3.775000000000034,-228.7500000000017,98285.0,End of Candle
2025-09-01 14:10:00+05:30,2025-09-01 14:15:00+05:30,LONG,444.375,442.75,-1.625,-121.25,98163.75,End of Candle
2025-09-01 14:15:00+05:30,2025-09-01 14:20:00+05:30,LONG,445.175,442.7,-2.4750000000000227,-163.75000000000114,98000.0,End of Candle
2025-09-01 14:20:00+05:30,2025-09-01 14:25:00+05:30,LONG,443.375,438.75,-4.625,-271.25,97728.75,End of Candle
2025-09-01 14:40:00+05:30,2025-09-01 14:45:00+05:30,LONG,446.325,444.25,-2.0749999999999886,-143.74999999999943,97585.0,End of Candle
2025-09-01 14:45:00+05:30,2025-09-01 14:50:00+05:30,LONG,446.975,443.25,-3.7250000000000227,-226.25000000000114,97358.75,End of Candle
2025-09-01 15:00:00+05:30,2025-09-01 15:05:00+05:30,LONG,453.625,447.65,-5.975000000000023,-338.75000000000114,97020.0,Stop Gap Fill
2025-09-01 15:15:00+05:30,2025-09-01 15:20:00+05:30,LONG,451.125,451.7,0.5749999999999886,-11.250000000000568,97008.75,End of Candle
2025-09-01 15:20:00+05:30,2025-09-01 15:25:00+05:30,LONG,453.825,453.75,-0.07499999999998863,-43.74999999999943,96965.0,End of Candle
2025-09-02 09:15:00+05:30,2025-09-02 09:20:00+05:30,LONG,466.425,460.925,-5.5,-315.0,96650.0,Stoploss Hit
2025-09-02 09:20:00+05:30,2025-09-02 09:25:00+05:30,LONG,462.425,452.75,-9.675000000000011,-523.7500000000006,96126.25,Stop Gap Fill
2025-09-02 09:35:00+05:30,2025-09-02 09:40:00+05:30,LONG,468.025,475.75,7.725000000000023,346.25000000000114,96472.5,End of Candle
2025-09-02 09:40:00+05:30,2025-09-02 09:45:00+05:30,LONG,472.025,481.525,9.5,435.0,96907.5,Target Hit
2025-09-02 09:45:00+05:30,2025-09-02 09:50:00+05:30,LONG,476.375,485.875,9.5,435.0,97342.5,Target Hit
2025-09-02 09:50:00+05:30,2025-09-02 09:55:00+05:30,LONG,484.325,494.05,9.725000000000023,446.25000000000114,97788.75,Target Gap Fill
2025-09-02 09:55:00+05:30,2025-09-02 10:00:00+05:30,LONG,494.675,504.175,9.5,435.0,98223.75,Target Hit
2025-09-02 10:00:00+05:30,2025-09-02 10:05:00+05:30,LONG,495.875,505.375,9.5,435.0,98658.75,Target Hit
2025-09-02 10:05:00+05:30,2025-09-02 10:10:00+05:30,LONG,503.125,500.5,-2.625,-171.25,98487.5,End of Candle
2025-09-02 10:10:00+05:30,2025-09-02 10:15:00+05:30,LONG,506.275,500.5,-5.774999999999977,-328.74999999999886,98158.75,Stop Gap Fill
2025-09-02 10:25:00+05:30,2025-09-02 10:30:00+05:30,LONG,498.725,505.85,7.125,316.25,98475.0,End of Candle
2025-09-02 10:35:00+05:30,2025-09-02 10:40:00+05:30,LONG,506.475,498.75,-7.725000000000023,-426.25000000000114,98048.75,Stop Gap Fill
2025-09-02 11:05:00+05:30,2025-09-02 11:10:00+05:30,LONG,506.375,499.75,-6.625,-371.25,97677.5,Stop Gap Fill
2025-09-02 11:15:00+05:30,2025-09-02 11:20:00+05:30,LONG,504.375,498.875,-5.5,-315.0,97362.5,Stoploss Hit
2025-09-02 11:30:00+05:30,2025-09-02 11:35:00+05:30,LONG,502.775,503.9,1.125,16.25,97378.75,End of Candle
2025-09-02 11:35:00+05:30,2025-09-02 11:40:00+05:30,LONG,504.025,503.9,-0.125,-46.25,97332.5,End of Candle
2025-09-02 12:00:00+05:30,2025-09-02 12:05:00+05:30,LONG,503.925,504.2,0.27499999999997726,-26.250000000001137,97306.25,End of Candle
2025-09-02 12:05:00+05:30,2025-09-02 12:10:00+05:30,LONG,504.825,501.25,-3.5749999999999886,-218.74999999999943,97087.5,End of Candle
2025-09-02 12:30:00+05:30,2025-09-02 12:35:00+05:30,LONG,506.425,513.75,7.324999999999989,326.24999999999943,97413.75,End of Candle
2025-09-02 12:35:00+05:30,2025-09-02 12:40:00+05:30,LONG,508.425,510.75,2.3249999999999886,76.24999999999943,97490.0,End of Candle
2025-09-02 12:40:00+05:30,2025-09-02 12:45:00+05:30,LONG,514.375,510.7,-3.6750000000000114,-223.75000000000057,97266.25,End of Candle
2025-09-02 12:45:00+05:30,2025-09-02 12:50:00+05:30,LONG,511.375,509.3,-2.0749999999999886,-143.74999999999943,97122.5,End of Candle
2025-09-02 13:05:00+05:30,2025-09-02 13:10:00+05:30,LONG,510.925,505.2,-5.725000000000023,-326.25000000000114,96796.25,Stop Gap Fill
2025-09-02 13:20:00+05:30,2025-09-02 13:25:00+05:30,SHORT,489.625,479.7,9.925000000000011,456.25000000000057,97252.5,Target Gap Fill
2025-09-02 13:25:00+05:30,2025-09-02 13:30:00+05:30,SHORT,479.075,477.6,1.474999999999966,33.749999999998295,97286.25,Target Gap Fill
2025-09-02 13:30:00+05:30,2025-09-02 13:35:00+05:30,SHORT,476.975,485.25,-8.274999999999977,-453.74999999999886,96832.5,Stop Gap Fill
